01/29/2026,AMZN Mktp CA*3R5689M73,39.54,,2160.81
01/28/2026,AMZN Mktp CA*HI8KB5VJ3,9.89,,2121.27
01/27/2026,APPLE.COM/BILL,4.51,,2111.38
01/27/2026,Amazon.ca*IO4YB4LP3,143.15,,2106.87
01/27/2026,CLEARLY ECOMM,196.78,,1963.72
01/27/2026,OPENAI *CHATGPT SUBSCR,31.79,,1766.94
01/26/2026,GOOGLE *Google One,4.51,,1735.15
01/25/2026,FOODLAND #3435,17.65,,1730.64
01/25/2026,Netflix.com,21.46,,1712.99
01/25/2026,TODOIST,84,,1691.53
01/24/2026,MCDONOUGH'S YIG #1618,114.65,,1607.53
01/23/2026,STARLINK INTERNET,21.47,,1492.88
01/22/2026,FOODLAND #3435,35.74,,1471.41
01/21/2026,FIDO Mobile ******6105,259.9,,1435.67
01/18/2026,IC* COSTCO BY INSTACAR,172.11,,1175.77
01/18/2026,UBER CANADA/UBERTRIP,13.94,,1003.66
01/17/2026,SMARTPARKINGAPPS,4.51,,989.72
01/17/2026,SUBWAY 14586,27.09,,985.21
01/17/2026,BRAUMEISTER BIERHALLE INC,25.99,,958.12
01/17/2026,BRAUMEISTER BIERHALLE INC,12.43,,932.13
01/17/2026,BRAUMEISTER BIERHALLE INC,20.79,,919.7
01/16/2026,THE CLARENDON TAVERN,343.32,,898.91
01/15/2026,W O STINSON AND SON EF,491.6,,555.59
01/15/2026,FOODLAND #3435,63.99,,63.99
01/15/2026,PAYMENT - THANK YOU,,2408.39,0
